id,path,category,width,height,states,nine_slice,accent,usage,source_docs
window.audit.active,assets/windows/shells/window.audit.active.320x220.png,window-shell,320,220,active,"8,30,8,8",audit,audit window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.audit.inactive,assets/windows/shells/window.audit.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",audit,audit window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.audit.nine-slice,assets/windows/nine_slice/window.audit.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",audit,Resizable audit window frame,01-visual-style.md;06-screen-concepts.md
window.document.active,assets/windows/shells/window.document.active.320x220.png,window-shell,320,220,active,"8,30,8,8",document,document window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.document.inactive,assets/windows/shells/window.document.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",document,document window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.document.nine-slice,assets/windows/nine_slice/window.document.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",document,Resizable document window frame,01-visual-style.md;06-screen-concepts.md
window.folder.active,assets/windows/shells/window.folder.active.320x220.png,window-shell,320,220,active,"8,30,8,8",folder,folder window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.folder.inactive,assets/windows/shells/window.folder.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",folder,folder window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.folder.nine-slice,assets/windows/nine_slice/window.folder.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",folder,Resizable folder window frame,01-visual-style.md;06-screen-concepts.md
window.memo.active,assets/windows/shells/window.memo.active.320x220.png,window-shell,320,220,active,"8,30,8,8",memo,memo window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.memo.inactive,assets/windows/shells/window.memo.inactive.320x220.png,window-shell,320,220,inactive,"8,30,8,8",memo,memo window shell with transparent content slot,01-visual-style.md;06-screen-concepts.md;KorpOsShell.css
window.memo.nine-slice,assets/windows/nine_slice/window.memo.nine-slice.png,window-nine-slice,64,64,,"8,30,8,8",memo,Resizable memo window frame,01-visual-style.md;06-screen-concepts.md
